DriverNumber,BroadcastName,Abbreviation,TeamName,Position,GridPosition,Points,Status,Year,RoundNumber,EventName,QualifyingPosition,QDelta
6,N LATIFI,LAT,Williams,18.0,19.0,0.0,+2 Laps,2020,6,Spanish Grand Prix,19.0,0.0390029635901777
8,R GROSJEAN,GRO,Haas F1 Team,19.0,17.0,0.0,+2 Laps,2020,6,Spanish Grand Prix,17.0,0.033141934801016
16,C LECLERC,LEC,Ferrari,20.0,9.0,0.0,Electronics,2020,6,Spanish Grand Prix,9.0,0.0181122988992379
44,L HAMILTON,HAM,Mercedes,1.0,1.0,25.0,Finished,2020,7,Belgian Grand Prix,1.0,0.0
77,V BOTTAS,BOT,Mercedes,2.0,2.0,18.0,Finished,2020,7,Belgian Grand Prix,2.0,0.005046813890096
33,M VERSTAPPEN,VER,Red Bull Racing,3.0,3.0,15.0,Finished,2020,7,Belgian Grand Prix,3.0,0.0051949591119188
3,D RICCIARDO,RIC,Renault,4.0,4.0,13.0,Finished,2020,7,Belgian Grand Prix,4.0,0.0079899656303086
31,E OCON,OCO,Renault,5.0,6.0,10.0,Finished,2020,7,Belgian Grand Prix,6.0,0.0112985422510173
23,A ALBON,ALB,Red Bull Racing,6.0,5.0,8.0,Finished,2020,7,Belgian Grand Prix,5.0,0.009293643582349
4,L NORRIS,NOR,McLaren,7.0,10.0,6.0,Finished,2020,7,Belgian Grand Prix,10.0,0.0138762691107336
10,P GASLY,GAS,AlphaTauri,8.0,12.0,4.0,Finished,2020,7,Belgian Grand Prix,12.0,0.0147453877454273
18,L STROLL,STR,Racing Point,9.0,9.0,2.0,Finished,2020,7,Belgian Grand Prix,9.0,0.0122367953225615
11,S PEREZ,PER,Racing Point,10.0,8.0,1.0,Finished,2020,7,Belgian Grand Prix,8.0,0.0126417255955438
26,D KVYAT,KVY,AlphaTauri,11.0,11.0,0.0,Finished,2020,7,Belgian Grand Prix,11.0,0.0145972425236045
7,K RAIKKONEN,RAI,Alfa Romeo Racing,12.0,16.0,0.0,Finished,2020,7,Belgian Grand Prix,16.0,0.0246019831707028
5,S VETTEL,VET,Ferrari,13.0,14.0,0.0,Finished,2020,7,Belgian Grand Prix,14.0,0.0198415833761308
16,C LECLERC,LEC,Ferrari,14.0,13.0,0.0,Finished,2020,7,Belgian Grand Prix,13.0,0.0172243511239284
8,R GROSJEAN,GRO,Haas F1 Team,15.0,17.0,0.0,Finished,2020,7,Belgian Grand Prix,17.0,0.025540236242247
6,N LATIFI,LAT,Williams,16.0,19.0,0.0,Finished,2020,7,Belgian Grand Prix,19.0,0.0285031406787027
20,K MAGNUSSEN,MAG,Haas F1 Team,17.0,20.0,0.0,Finished,2020,7,Belgian Grand Prix,20.0,0.0302413779480898
99,A GIOVINAZZI,GIO,Alfa Romeo Racing,18.0,18.0,0.0,Accident,2020,7,Belgian Grand Prix,18.0,0.0266463872318572
63,G RUSSELL,RUS,Williams,19.0,15.0,0.0,Debris,2020,7,Belgian Grand Prix,15.0,0.0218859874372852
55,C SAINZ,SAI,McLaren,20.0,7.0,0.0,Exhaust,2020,7,Belgian Grand Prix,7.0,0.0117133488721211
